ooredooshop_scrapy_persist.reference_global,ooredooshop_scrapy_persist.reference_detail,ooredooshop_scrapy_persist.ad_title,ooredooshop_scrapy_persist.ad_url,ooredooshop_scrapy_persist.marque,ooredooshop_scrapy_persist.modele,ooredooshop_scrapy_persist.ram,ooredooshop_scrapy_persist.stockage,ooredooshop_scrapy_persist.couleur,ooredooshop_scrapy_persist.options,ooredooshop_scrapy_persist.shop,ooredooshop_scrapy_persist.ad_stocks,ooredooshop_scrapy_persist.ad_price,ooredooshop_scrapy_persist.date_scrapy
xiaomi-redmi9a,xiaomi-redmi9a-2go-32gb,Xiaomi Redmi 9A (2-32Go),https://www.ooredoo.tn/Personal/fr/accueil/336-809-portable-xiaomi-redmi-9a-232g.html#/50-couleur-bleu,xiaomi,redmi 9a,2go,32gb,,,ooredooshop,INSTOCK,349.0,05/11/2023
xiaomi-redmi102022,xiaomi-redmi102022-4go-128gb,XIAOMI REDMI 10 2022 4+128G,https://www.ooredoo.tn/Personal/fr/accueil/879-1637-portable-xiaomi-redmi-10-4-128go.html#/5-couleur-gris,xiaomi,redmi 10 2022,4go,128gb,,,ooredooshop,INSTOCK,809.0,05/11/2023
samsung-a04e,samsung-a04e-3go-32gb,SAMSUNG A04E 3+32GO,https://www.ooredoo.tn/Personal/fr/accueil/1085-2352-portable-samsung-galaxy-a04e-332go.html#/56-couleur-vert,samsung,a04e,3go,32gb,,,ooredooshop,INSTOCK,379.0,05/11/2023
samsung-a04,samsung-a04-4go-64gb,SAMSUNG A04 (4+64GO),https://www.ooredoo.tn/Personal/fr/accueil/1286-2334-portable-samsung-galaxy-a04-464go.html#/52-couleur-blanc,samsung,a04,4go,64gb,,,ooredooshop,INSTOCK,479.0,05/11/2023
xiaomi-redmi10a,xiaomi-redmi10a-3go-64gb,XIAOMI REDMI 10A 3+64G,https://www.ooredoo.tn/Personal/fr/accueil/947-1433-portable-portable-xiaomi-redmi-10a-364g-tunisie.html#/5-couleur-gris,xiaomi,redmi 10a,3go,64gb,,,ooredooshop,INSTOCK,509.0,05/11/2023
itel-p40,itel-p40-4go-64gb,ITEL P40 (4+64G),https://www.ooredoo.tn/Personal/fr/accueil/1633-2295-portable-itel-p40-464g.html#/14-couleur-bleu,itel,p40,4go,64gb,,,ooredooshop,INSTOCK,359.0,05/11/2023
oppo-a55,oppo-a55-4go-64gb,Oppo A55 (4/64Go),https://www.ooredoo.tn/Personal/fr/accueil/655-1064-portable-oppo-a55-464g.html#/73-couleur-noir,oppo,a55,4go,64gb,,,ooredooshop,INSTOCK,799.0,05/11/2023
oppo-a94,oppo-a94-8go-128gb,Oppo A94 (8/128),https://www.ooredoo.tn/Personal/fr/oppo/302-834-portable-oppo-a94-tunisie.html#/73-couleur-noir,oppo,a94,8go,128gb,,,ooredooshop,INSTOCK,1149.0,05/11/2023
oppo-a53,oppo-a53,Oppo A53,https://www.ooredoo.tn/Personal/fr/accueil/365-752-portable-oppo-a53.html#/73-couleur-noir,oppo,a53,,,,,ooredooshop,INSTOCK,699.0,05/11/2023
oppo-a16k,oppo-a16k-3go-32gb,OPPO A16K ( 3+32 ),https://www.ooredoo.tn/Personal/fr/accueil/731-1326-portable-oppo-a16k-332-.html#/73-couleur-noir,oppo,a16k,3go,32gb,,,ooredooshop,INSTOCK,499.0,05/11/2023
oppo-a16,oppo-a16-4go-64gb,OPPO A16 (4-64),https://www.ooredoo.tn/Personal/fr/accueil/1475-2132-portable-oppo-a16-4-64.html#/14-couleur-bleu,oppo,a16,4go,64gb,,,ooredooshop,INSTOCK,699.0,05/11/2023
vivo-y36,vivo-y36-8go-128gb,VIVO Y36 (8+128 GO),https://www.ooredoo.tn/Personal/fr/accueil/1406-2227-portable-vivo-y36-8128-go.html#/49-couleur-blanc_dore,vivo,y36,8go,128gb,,,ooredooshop,INSTOCK,749.0,05/11/2023
vivo-y27,vivo-y27-6go-128gb,VIVO Y27 (6+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1415-2215-portable-vivo-y27-6128go.html#/73-couleur-noir,vivo,y27,6go,128gb,,,ooredooshop,INSTOCK,639.0,05/11/2023
tecno-pop7,tecno-pop7-2go-64gb,TECNO POP 7 (64+2GO),https://www.ooredoo.tn/Personal/fr/accueil/1493-2195-portable-tecno-pop-7-642go.html#/14-couleur-bleu,tecno,pop 7,2go,64gb,,,ooredooshop,INSTOCK,319.0,05/11/2023
tecno-sparkgo2023,tecno-sparkgo2023-4go-64gb,TECNO SPARK GO 2023 (64+4GO),https://www.ooredoo.tn/Personal/fr/accueil/1490-2186-portable-tecno-spark-go-2023-644go.html#/14-couleur-bleu,tecno,spark go 2023,4go,64gb,,,ooredooshop,INSTOCK,359.0,05/11/2023
oppo-reno55g,oppo-reno55g,Oppo Reno 5 - 5G,https://www.ooredoo.tn/Personal/fr/accueil/327-762-portable-oppo-reno-5-5g-tunisie.html#/51-couleur-argent,oppo,reno 5 5g,,,,,ooredooshop,INSTOCK,1599.0,05/11/2023
oppo-reno7,oppo-reno7,Oppo Reno 7,https://www.ooredoo.tn/Personal/fr/accueil/797-1154-portable-oppo-reno-7-8256g-tunisie.html#/13-couleur-orange,oppo,reno 7,,,,,ooredooshop,INSTOCK,1499.0,05/11/2023
oppo-a55,oppo-a55-4go-128gb,Oppo A55 (4/128Go),https://www.ooredoo.tn/Personal/fr/accueil/615-1058-portable-oppo-a55-4128g-tunisie.html#/50-couleur-bleu,oppo,a55,4go,128gb,,,ooredooshop,INSTOCK,849.0,05/11/2023
oppo-a17k,oppo-a17k-3go-64gb,OPPO A17 K (3-64),https://www.ooredoo.tn/Personal/fr/accueil/1175-2120-portable-oppo-a17-k-3-64.html#/14-couleur-bleu,oppo,a17 k,3go,64gb,,,ooredooshop,INSTOCK,479.0,05/11/2023
oppo-a16k,oppo-a16k-4go-64gb,OPPO A16K ( 4+64 ),https://www.ooredoo.tn/Personal/fr/accueil/882-1329-portable-oppo-a16k-332-tunisie.html#/73-couleur-noir,oppo,a16k,4go,64gb,,,ooredooshop,INSTOCK,599.0,05/11/2023
oppo-a17,oppo-a17-4go-64gb,OPPO A17 (4-64),https://www.ooredoo.tn/Personal/fr/accueil/1067-1649-portable-oppo-a17-4-64.html#/50-couleur-bleu,oppo,a17,4go,64gb,,,ooredooshop,INSTOCK,599.0,05/11/2023
oppo-a76,oppo-a76,Oppo A76,https://www.ooredoo.tn/Personal/fr/accueil/822-1314-portable-oppo-a76-6-128.html#/73-couleur-noir,oppo,a76,,,,,ooredooshop,INSTOCK,999.0,05/11/2023
infinix-hot30i,infinix-hot30i-4go-128gb,INFINIX HOT 30I (4+128 GO),https://www.ooredoo.tn/Personal/fr/accueil/1445-2259-portable-infinix-hot30i-4128-go.html#/14-couleur-bleu,infinix,hot 30i,4go,128gb,,,ooredooshop,INSTOCK,439.0,05/11/2023
huawei-y91,huawei-y91,HUAWEI Y91,https://www.ooredoo.tn/Personal/fr/accueil/1400-2111-portable-huawei-y91.html#/51-couleur-argent,huawei,y91,,,,,ooredooshop,INSTOCK,1199.0,05/11/2023
xiaomi-redminote12pro,xiaomi-redminote12pro,XIAOMI REDMI NOTE 12 PRO...,https://www.ooredoo.tn/Personal/fr/accueil/1343-2063-portable-xiaomi-redmi-note-12-pro-6128g-tunisie.html#/14-couleur-bleu,xiaomi,redmi note 12 pro,,,,,ooredooshop,INSTOCK,1199.0,05/11/2023
infinix-hot30i,infinix-hot30i-8go-128gb,INFINIX HOT 30I ( 8+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1337-2060-portable-infinix-hot-30i-8128go-tunisie.html#/73-couleur-noir,infinix,hot 30i,8go,128gb,,,ooredooshop,INSTOCK,499.0,05/11/2023
infinix-smart7hd,infinix-smart7hd-2go-64gb,INFINIX SMART 7 HD (2/64GO),https://www.ooredoo.tn/Personal/fr/accueil/1340-2069-portable-infinix-smart-7-hd-2-64go-tunisie.html#/56-couleur-vert,infinix,smart 7 hd,2go,64gb,,,ooredooshop,INSTOCK,299.0,05/11/2023
xiaomi-redminote12s,xiaomi-redminote12s,XIAOMI REDMI NOTE 12S...,https://www.ooredoo.tn/Personal/fr/accueil/1331-2382-portable-xiaomi-redmi-note-12s-8256go-tunisie.html#/14-couleur-bleu,xiaomi,redmi note 12s,,,,,ooredooshop,INSTOCK,1079.0,05/11/2023
infinix-hot30freefire,infinix-hot30freefire,INFINIX HOT 30 Free Fire...,https://www.ooredoo.tn/Personal/fr/accueil/1328-2024-portable-infinix-hot30-8128-tunisie.html#/56-couleur-vert,infinix,hot 30 free fire,,,,,ooredooshop,INSTOCK,629.0,05/11/2023
samsung-a24,samsung-a24-6go-128gb,SAMSUNG A24 (6+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1280-1973-portable-samsung-galaxy-a24-6128go-tunisie.html#/51-couleur-argent,samsung,a24,6go,128gb,,,ooredooshop,INSTOCK,1099.0,05/11/2023
samsung-a24,samsung-a24-4go-128gb,SAMSUNG A24 (4+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1283-2358-portable-samsung-galaxy-a24-4128go-tunisie.html#/73-couleur-noir,samsung,a24,4go,128gb,,,ooredooshop,INSTOCK,999.0,05/11/2023
samsung-a14,samsung-a14-4go-64gb,SAMSUNG A14 (4+64GO),https://www.ooredoo.tn/Personal/fr/accueil/1274-1955-portable-samsung-galaxy-a14-464go-ooredoo-tunisie.html#/73-couleur-noir,samsung,a14,4go,64gb,,,ooredooshop,INSTOCK,699.0,05/11/2023
samsung-s22ultra,samsung-s22ultra,SAMSUNG S22 ULTRA,https://www.ooredoo.tn/Personal/fr/accueil/611-1949-portable-samsung-galaxy-galaxy-s22-ultra.html#/52-couleur-blanc,samsung,s22 ultra,,,,,ooredooshop,INSTOCK,4999.0,05/11/2023
samsung-a34,samsung-a34-8go-128gb,SAMSUNG A34 (8+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1271-1946-portable-samsung-galaxy-a34-8128go.html#/73-couleur-noir,samsung,a34,8go,128gb,,,ooredooshop,INSTOCK,1599.0,05/11/2023
samsung-a14,samsung-a14-4go-128gb,SAMSUNG A14 (4 + 128GO),https://www.ooredoo.tn/Personal/fr/accueil/1252-1921-portable-samsung-galaxy-a14-4-128go-ooredoo-tun.html#/56-couleur-vert,samsung,a14,4go,128gb,,,ooredooshop,INSTOCK,749.0,05/11/2023
xiaomi-redminote12,xiaomi-redminote12-6go-128gb,XIAOMI REDMI NOTE 12 6+128G,https://www.ooredoo.tn/Personal/fr/accueil/1256-1937-portable-xiaomi-redmi-note-12-6128g.html#/57-couleur-gris,xiaomi,redmi note 12,6go,128gb,,,ooredooshop,INSTOCK,839.0,05/11/2023
nokia-c12,nokia-c12,NOKIA C12,https://www.ooredoo.tn/Personal/fr/accueil/1255-1924-portable-nokia-c12.html#/56-couleur-vert,nokia,c12,,,,,ooredooshop,INSTOCK,360.0,05/11/2023
nokia-c22nded,nokia-c22nded,NOKIA C2 2ND ED,https://www.ooredoo.tn/Personal/fr/accueil/1137-1844-portable-nokia-c2-2nd-ed-tunisie.html#/57-couleur-gris,nokia,c2 2nd ed,,,,,ooredooshop,INSTOCK,300.0,05/11/2023
xiaomi-redmi12c,xiaomi-redmi12c-4go-128gb,XIAOMI REDMI 12C 4+128GO,https://www.ooredoo.tn/Personal/fr/accueil/1250-2367-portable-xiaomi-redmi-12c-4128go-tunisie.html#/54-couleur-purple,xiaomi,redmi 12c,4go,128gb,,,ooredooshop,INSTOCK,499.0,05/11/2023
xiaomi-redmi12c,xiaomi-redmi12c-3go-64gb,XIAOMI REDMI 12C 3+64GO,https://www.ooredoo.tn/Personal/fr/accueil/1247-1925-portable-xiaomi-redmi-12c-364go-tunisie.html#/57-couleur-gris,xiaomi,redmi 12c,3go,64gb,,,ooredooshop,INSTOCK,439.0,05/11/2023
infinix-smart7,infinix-smart7-4go-64gb,INFINIX SMART 7 (4/64GO),https://www.ooredoo.tn/Personal/fr/accueil/1157-1898-portable-infinix-smart-7-4-64go.html#/73-couleur-noir,infinix,smart 7,4go,64gb,,,ooredooshop,INSTOCK,379.0,05/11/2023
infinix-hot20,infinix-hot20-6go-128gb,INFINIX HOT 20 (6/128GO),https://www.ooredoo.tn/Personal/fr/accueil/1160-1892-portable-infinix-hot-20-6-128go.html#/73-couleur-noir,infinix,hot 20,6go,128gb,,,ooredooshop,INSTOCK,679.0,05/11/2023
samsung-s23ultra,samsung-s23ultra,SAMSUNG S23 ULTRA,https://www.ooredoo.tn/Personal/fr/accueil/1146-1857-portable-samsung-galaxy-s23-ultra.html#/18-couleur-rose,samsung,s23 ultra,,,,,ooredooshop,INSTOCK,5899.0,05/11/2023
samsung-s23plus,samsung-s23plus,SAMSUNG S23 PLUS,https://www.ooredoo.tn/Personal/fr/accueil/1145-1858-portable-samsung-galaxy-s23-plus.html#/18-couleur-rose,samsung,s23 plus,,,,,ooredooshop,INSTOCK,4599.0,05/11/2023
samsung-s23,samsung-s23,SAMSUNG S23,https://www.ooredoo.tn/Personal/fr/accueil/1144-2361-portable-samsung-galaxy-s23.html#/18-couleur-rose,samsung,s23,,,,,ooredooshop,INSTOCK,3999.0,05/11/2023
logicom-solar,logicom-solar-4go-64gb,LOGICOM SOLAR (4+64GO),https://www.ooredoo.tn/Personal/fr/accueil/1140-1856-portable-logicom-solar-464go.html#/50-couleur-bleu,logicom,solar,4go,64gb,,,ooredooshop,INSTOCK,289.0,05/11/2023
logicom-flow,logicom-flow-2go-32gb,LOGICOM FLOW (2+32GO),https://www.ooredoo.tn/Personal/fr/accueil/1143-1853-portable-logicom-flow-232go.html#/73-couleur-noir,logicom,flow,2go,32gb,,,ooredooshop,INSTOCK,249.0,05/11/2023
infinix-hot20,infinix-hot20-4go-128gb,INFINIX HOT 20 (4-128GO),https://www.ooredoo.tn/Personal/fr/accueil/1094-1697-portable-infinix-hot-20-4-128go.html#/8-couleur-blanc,infinix,hot 20,4go,128gb,,,ooredooshop,INSTOCK,629.0,05/11/2023
infinix-hot20i,infinix-hot20i-4go-128gb,INFINIX HOT 20I (4/128 GB ),https://www.ooredoo.tn/Personal/fr/accueil/1098-1713-portable-infinix-hot-20i-4-128-gb-.html#/50-couleur-bleu,infinix,hot 20i,4go,128gb,,,ooredooshop,INSTOCK,499.0,05/11/2023
samsung-a04s,samsung-a04s-4go-64gb,SAMSUNG A04S (4+64GO),https://www.ooredoo.tn/Personal/fr/accueil/1113-1821-portable-samsung-galaxy-a04s-464go.html#/73-couleur-noir,samsung,a04s,4go,64gb,,,ooredooshop,INSTOCK,619.0,05/11/2023
huawei-novay90,huawei-novay90-6go-128gb,HUAWEI NOVA Y90 6+128G,https://www.ooredoo.tn/Personal/fr/accueil/1022-1556-portable-huawei-nova-y90-6128g.html#/50-couleur-bleu,huawei,nova y90,6go,128gb,,,ooredooshop,INSTOCK,1079.0,05/11/2023
samsung-a04,samsung-a04-3go-32gb,SAMSUNG A04 3+32GO,https://www.ooredoo.tn/Personal/fr/accueil/1064-1655-portable-samsung-galaxy-a04-332go.html#/73-couleur-noir,samsung,a04,3go,32gb,,,ooredooshop,INSTOCK,429.0,05/11/2023
tecno-spark8,tecno-spark8-4go-64gb,TECNO SPARK 8 (4+64G),https://www.ooredoo.tn/Personal/fr/accueil/1068-1670-portable-tecno-spark-8-464g.html#/50-couleur-bleu,tecno,spark 8,4go,64gb,,,ooredooshop,INSTOCK,329.0,05/11/2023
huawei-novay70,huawei-novay70,HUAWEI NOVA Y70,https://www.ooredoo.tn/Personal/fr/accueil/959-1457-portable-portable-huawei-nova-y70.html#/52-couleur-blanc,huawei,nova y70,,,,,ooredooshop,INSTOCK,799.0,05/11/2023
samsung-a03,samsung-a03-4go-64gb,SAMSUNG A03 4/64,https://www.ooredoo.tn/Personal/fr/accueil/992-1511-portable-samsung-galaxy-a03-ooredoo-tunisie.html#/73-couleur-noir,samsung,a03,4go,64gb,,,ooredooshop,INSTOCK,599.0,05/11/2023
samsung-a33,samsung-a33-8go-128gb,SAMSUNG A33 (8/128),https://www.ooredoo.tn/Personal/fr/accueil/813-1257-portable-samsung-galaxy-a33-tunisie.html#/73-couleur-noir,samsung,a33,8go,128gb,,,ooredooshop,INSTOCK,1199.0,05/11/2023
tecno-spark8p,tecno-spark8p,Tecno Spark 8P,https://www.ooredoo.tn/Personal/fr/accueil/816-1673-portable-tecno-spark-8p-4128g.html#/49-couleur-blanc_dore,tecno,spark 8p,,,,,ooredooshop,INSTOCK,439.0,05/11/2023
tecno-sparkgo,tecno-sparkgo,Tecno Spark Go,https://www.ooredoo.tn/Personal/fr/accueil/828-1239-portable-tecno-spark-go-tunisie.html#/50-couleur-bleu,tecno,spark go,,,,,ooredooshop,INSTOCK,289.0,05/11/2023
tecno-spark8c,tecno-spark8c,Tecno Spark 8C,https://www.ooredoo.tn/Personal/fr/accueil/825-1236-portable-tecno-spark-8c-464g.html#/73-couleur-noir,tecno,spark 8c,,,,,ooredooshop,INSTOCK,329.0,05/11/2023
infinix-hot12,infinix-hot12,Infinix Hot 12,https://www.ooredoo.tn/Personal/fr/accueil/810-1176-portable-infinix-hot-12-4-64go.html#/73-couleur-noir,infinix,hot 12,,,,,ooredooshop,INSTOCK,499.0,05/11/2023
nokia-c10,nokia-c10-2go-32gb,Nokia C10 (2-32GO),https://www.ooredoo.tn/Personal/fr/smartphones/805-1168-portable-nokia-c10-32go.html#/57-couleur-gris,nokia,c10,2go,32gb,,,ooredooshop,INSTOCK,370.0,05/11/2023
huawei-nova9,huawei-nova9,Huawei Nova 9,https://www.ooredoo.tn/Personal/fr/accueil/773-1160-portable-huawei-nova-9.html#/50-couleur-bleu,huawei,nova 9,,,,,ooredooshop,INSTOCK,1999.0,05/11/2023
samsung-a53,samsung-a53-8go-256gb,SAMSUNG A53 8/256,https://www.ooredoo.tn/Personal/fr/accueil/749-1704-portable-samsung-galaxy-a53-8256.html#/13-couleur-orange,samsung,a53,8go,256gb,,,ooredooshop,INSTOCK,2149.0,05/11/2023
samsung-a23,samsung-a23-6go-128gb,SAMSUNG A23 (6/128),https://www.ooredoo.tn/Personal/fr/accueil/746-2355-portable-samsung-galaxy-a23-6128-tunisie.html#/13-couleur-orange,samsung,a23,6go,128gb,,,ooredooshop,INSTOCK,1049.0,05/11/2023
samsung-a13,samsung-a13,SAMSUNG A13,https://www.ooredoo.tn/Personal/fr/accueil/743-1145-portable-samsung-galaxy-a13-4128-tunisie.html#/73-couleur-noir,samsung,a13,,,,,ooredooshop,INSTOCK,849.0,05/11/2023
nokia-ds,nokia-ds-2go,Nokia 2.3 DS,https://www.ooredoo.tn/Personal/fr/accueil/606-1088-portable-nokia-23-ds.html#/57-couleur-gris,nokia,ds,2go,,,,ooredooshop,INSTOCK,369.9,05/11/2023
nokia-c12nded,nokia-c12nded,Nokia C1 2nd ED,https://www.ooredoo.tn/Personal/fr/accueil/620-1079-portable-nokia-c1-2nd-ed.html#/50-couleur-bleu,nokia,c1 2nd ed,,,,,ooredooshop,INSTOCK,290.0,05/11/2023
nokia-g21,nokia-g21,Nokia G21,https://www.ooredoo.tn/Personal/fr/accueil/646-1263-portable-nokia-g21.html#/57-couleur-gris,nokia,g21,,,,,ooredooshop,INSTOCK,719.0,05/11/2023
samsung-a03,samsung-a03,SAMSUNG A03,https://www.ooredoo.tn/Personal/fr/accueil/661-1409-portable-samsung-galaxy-a03-tunisie.html#/50-couleur-bleu,samsung,a03,,,,,ooredooshop,INSTOCK,649.0,05/11/2023
samsung-a03core,samsung-a03core,SAMSUNG A03 CORE,https://www.ooredoo.tn/Personal/fr/accueil/618-2328-portable-samsung-galaxy-a03-core-tunisie.html#/46-couleur-bronze,samsung,a03 core,,,,,ooredooshop,INSTOCK,399.0,05/11/2023
infinix-hot11,infinix-hot11-4go-64gb,Infinix Hot 11 (4/64Go),https://www.ooredoo.tn/Personal/fr/accueil/594-1002-portable-infinix-hot-11-464go.html#/56-couleur-vert,infinix,hot 11,4go,64gb,,,ooredooshop,INSTOCK,399.0,05/11/2023
infinix-hot11s,infinix-hot11s-4go-64gb,Infinix Hot 11s (4/64Go),https://www.ooredoo.tn/Personal/fr/accueil/593-1005-portable-infinix-hot-11s-464go.html#/56-couleur-vert,infinix,hot 11s,4go,64gb,,,ooredooshop,INSTOCK,419.0,05/11/2023
huawei-nova8i,huawei-nova8i,Huawei Nova 8i,https://www.ooredoo.tn/Personal/fr/accueil/590-993-portable-huawei-nova-8i.html#/73-couleur-noir,huawei,nova 8i,,,,,ooredooshop,INSTOCK,1449.0,05/11/2023
nokia-xr20,nokia-xr20,Nokia XR20,https://www.ooredoo.tn/Personal/fr/smartphones/447-876-portable-nokia-xr20.html#/50-couleur-bleu,nokia,xr20,,,,,ooredooshop,INSTOCK,1799.0,05/11/2023
apple-iphone13pro,apple-iphone13pro,iPhone 13 Pro,https://www.ooredoo.tn/Personal/fr/smartphones/546-886-portable-iphone-13-pro-128-go.html#/57-couleur-gris,apple,iphone 13 pro,,,,,ooredooshop,INSTOCK,5969.0,05/11/2023
nokia-c10,nokia-c10-1go-32gb,Nokia C10 (1-32GO),https://www.ooredoo.tn/Personal/fr/smartphones/584-1076-portable-nokia-c10-32go.html#/57-couleur-gris,nokia,c10,1,32gb,,,ooredooshop,INSTOCK,330.0,05/11/2023
apple-iphone13,apple-iphone13,iPhone 13,https://www.ooredoo.tn/Personal/fr/telephonie/545-925-portable-iphone-13-128go.html#/11-couleur-noir,apple,iphone 13,,,,,ooredooshop,INSTOCK,4719.0,05/11/2023
alcatel-1s5028d,alcatel-1s5028d,Alcatel 1s (5028D),https://www.ooredoo.tn/Personal/fr/smartphones/314-815-portable-alcatel-1s-5028d.html#/56-couleur-vert,alcatel,1s 5028d,,,,,ooredooshop,INSTOCK,359.0,05/11/2023
huawei-y6p,huawei-y6p,Huawei Y6P,https://www.ooredoo.tn/Personal/fr/smartphones/347-779-portable-huawei-y6p.html#/56-couleur-vert,huawei,y6p,,,,,ooredooshop,INSTOCK,519.0,05/11/2023
samsung-a02,samsung-a02,Samsung A02,https://www.ooredoo.tn/Personal/fr/smartphones/324-743-portable-samsung-galaxy-a02.html#/50-couleur-bleu,samsung,a02,,,,,ooredooshop,INSTOCK,499.0,05/11/2023
